"date","price","volume","type","year","region"
"1/4/15",1,435.021,"conventional",2015,"Atlanta"
"1/11/15",1.11,397.543,"conventional",2015,"Atlanta"
"1/18/15",1.11,431.491,"conventional",2015,"Atlanta"
"1/25/15",1.1,449.333,"conventional",2015,"Atlanta"
"2/1/15",0.96,636.771,"conventional",2015,"Atlanta"
"2/8/15",1.03,433.884,"conventional",2015,"Atlanta"
"2/15/15",1.06,427.391,"conventional",2015,"Atlanta"
"2/22/15",1.1,431.309,"conventional",2015,"Atlanta"
"3/1/15",0.99,512.532,"conventional",2015,"Atlanta"
"3/8/15",1.1,420.826,"conventional",2015,"Atlanta"
"3/15/15",1.12,399.566,"conventional",2015,"Atlanta"
"3/22/15",1,479.591,"conventional",2015,"Atlanta"
"3/29/15",1.11,365.722,"conventional",2015,"Atlanta"
"4/5/15",1.04,383.139,"conventional",2015,"Atlanta"
"4/12/15",0.99,451.102,"conventional",2015,"Atlanta"
"4/19/15",1.12,430.966,"conventional",2015,"Atlanta"
"4/26/15",1.12,448.597,"conventional",2015,"Atlanta"
"5/3/15",1,634.213,"conventional",2015,"Atlanta"
"5/10/15",1.1,480.071,"conventional",2015,"Atlanta"
"5/17/15",1.11,451.251,"conventional",2015,"Atlanta"
"5/24/15",0.96,623.212,"conventional",2015,"Atlanta"
"5/31/15",1.1,454.702,"conventional",2015,"Atlanta"
"6/7/15",0.99,551.009,"conventional",2015,"Atlanta"
"6/14/15",1.1,465.805,"conventional",2015,"Atlanta"
"6/21/15",0.99,554.764,"conventional",2015,"Atlanta"
"6/28/15",1.13,435.211,"conventional",2015,"Atlanta"
"7/5/15",1.01,562.462,"conventional",2015,"Atlanta"
"7/12/15",1.14,407.205,"conventional",2015,"Atlanta"
"7/19/15",0.97,557.213,"conventional",2015,"Atlanta"
"7/26/15",1.08,437.378,"conventional",2015,"Atlanta"
"8/2/15",1.15,405.898,"conventional",2015,"Atlanta"
"8/9/15",1.01,503.792,"conventional",2015,"Atlanta"
"8/16/15",1.09,465.214,"conventional",2015,"Atlanta"
"8/23/15",1.12,379.054,"conventional",2015,"Atlanta"
"8/30/15",1.15,382.973,"conventional",2015,"Atlanta"
"9/6/15",0.97,472.137,"conventional",2015,"Atlanta"
"9/13/15",1.07,417.232,"conventional",2015,"Atlanta"
"9/20/15",0.93,516.433,"conventional",2015,"Atlanta"
"9/27/15",1.07,370.321,"conventional",2015,"Atlanta"
"10/4/15",0.96,418.682,"conventional",2015,"Atlanta"
"10/11/15",0.95,433.874,"conventional",2015,"Atlanta"
"10/18/15",1.09,349.072,"conventional",2015,"Atlanta"
"10/25/15",1.09,358.478,"conventional",2015,"Atlanta"
"11/1/15",0.99,419.089,"conventional",2015,"Atlanta"
"11/8/15",1.12,334.042,"conventional",2015,"Atlanta"
"11/15/15",1.13,339.861,"conventional",2015,"Atlanta"
"11/22/15",1,356.415,"conventional",2015,"Atlanta"
"11/29/15",0.99,333.281,"conventional",2015,"Atlanta"
"12/6/15",1.07,357.637,"conventional",2015,"Atlanta"
"12/13/15",0.96,417.772,"conventional",2015,"Atlanta"
"12/20/15",1.08,331.378,"conventional",2015,"Atlanta"
"12/27/15",0.99,386.1,"conventional",2015,"Atlanta"
"1/3/16",1.05,449.263,"conventional",2016,"Atlanta"
"1/10/16",0.93,558.349,"conventional",2016,"Atlanta"
"1/17/16",1.04,445.09,"conventional",2016,"Atlanta"
"1/24/16",0.92,528.777,"conventional",2016,"Atlanta"
"1/31/16",1.04,437.491,"conventional",2016,"Atlanta"
