"year","songtitle","artistname","en_loudness","en_duration","en_mode","en_mode_confidence","en_tempo","en_tempo_confidence","en_key","en_key_confidence","en_numsections","en_energy","loudness_0_min","loudness_0_mean","loudness_0_max","loudness_1_min","loudness_1_mean","loudness_1_max","loudness_2_min","loudness_2_mean","loudness_2_max","pitch_0_min","pitch_0_mean","pitch_0_max","pitch_1_min","pitch_1_mean","pitch_1_max","pitch_2_min","pitch_2_mean","pitch_2_max","pitch_3_min","pitch_3_mean","pitch_3_max","pitch_4_min","pitch_4_mean","pitch_4_max","pitch_5_min","pitch_5_mean","pitch_5_max","pitch_6_min","pitch_6_mean","pitch_6_max","pitch_7_min","pitch_7_mean","pitch_7_max","pitch_8_min","pitch_8_mean","pitch_8_max","pitch_9_min","pitch_9_mean","pitch_9_max","pitch_10_min","pitch_10_mean","pitch_10_max","pitch_11_min","pitch_11_mean","pitch_11_max","timbre_0_min","timbre_0_mean","timbre_0_max","timbre_1_min","timbre_1_mean","timbre_1_max","timbre_2_min","timbre_2_mean","timbre_2_max","timbre_3_min","timbre_3_mean","timbre_3_max","timbre_4_min","timbre_4_mean","timbre_4_max","timbre_5_min","timbre_5_mean","timbre_5_max","timbre_6_min","timbre_6_mean","timbre_6_max","timbre_7_min","timbre_7_mean","timbre_7_max","timbre_8_min","timbre_8_mean","timbre_8_max","timbre_9_min","timbre_9_mean","timbre_9_max","timbre_10_min","timbre_10_mean","timbre_10_max","timbre_11_min","timbre_11_mean","timbre_11_max","top10"
1994,"Secret","Madonna",-17.772,249.62567,1,0.396,124.206,0.906,"C#",0.585,10,0.47380414,-53.395,-18.43,-13.857,0.00907,0.07198,0.25678,-60,-60,-20.463,0.018,0.988,1,0.013,1,1,0.009,0.699,0.994,0.011,0.47,1,0.007,0.436,1,0.005,0.536,1,0.007,0.474,1,0.014,0.312,1,0.005,0.328,1,0.007,0.322,1,0.007,0.314,1,0.008,0.806,1,3.137,13.075,41.623,-84.231,123.354,297.842,-189.546,-27.466,124.594,-197.522,-197.522,146.548,-96.519,52.398,86.517,-96.797,93.854,99.626,-97.052,46.696,81.24,-55.434,4.885,126.636,-78.833,-25.287,49.83,-58.902,52.967,90.195,-118.722,-118.722,58.452,-69.808,28.801,73.439,1
1994,"All I Wanna Do","Sheryl Crow",-11.444,272.18395,1,0.481,120.07,0.963,"A",0.867,8,0.543679838,-54.627,-54.627,-4.21,-0.00274,0.34249,0.34249,-60,-60,-12.487,0.005,0.143,1,0.002,0.076,1,0.004,0.038,1,0.005,0.017,1,0.011,0.014,1,0.004,0.041,1,0.005,0.043,1,0.003,0.01,1,0.006,0.006,1,0.002,0.007,1,0.004,0.034,1,0.005,1,1,0.39,0.39,49.613,-199.764,166.117,166.117,-184.938,1.396,128.776,-116.977,-38.261,147.28,-37.774,47.536,119.829,-95.621,-52.095,85.279,-74.097,22.034,74.255,-77.118,0.826,69.353,-54.235,-25.958,40.295,-64.996,4.459,56.565,-78.218,-9.965,49.201,-48.097,-8.341,58.522,1
1994,"Never Lie","Immature",-10.775,253.29741,0,0.255,71.069,0,"E",0.13,9,0.381721005,-60,-60,-3.109,0,0,0.4968,-60,-60,-8.339,0.008,0.73,1,0.005,0.679,1,0.006,1,1,0.008,0.703,1,0.005,0.709,1,0.005,0.665,1,0.005,0.51,1,0.008,0.483,1,0.01,0.691,1,0.009,0.473,1,0.01,0.64,1,0.008,0.597,1,0,0,53.037,-152.233,171.13,182.539,-170.337,9.469,82.723,-172.225,-28.48,156.766,-34.732,57.491,128.225,-123.185,-50.067,137.243,-142.85,14.833,72.805,-106.688,5.359,65.925,-76.484,-27.228,55.111,-83.029,0.973,46.038,-74.76,-10.64,76.176,-43.392,-7.228,65.967,1
1994,"Flava In Ya Ear","Craig Mack",-20.027,203.85914,1,0.148,180.694,0.373,"A#",0.496,9,0.21615393,-60,-60,-14.724,0,0,0.38796,-60,-60,-21.049,0.004,1,1,0.003,0.231,1,0.002,0.208,1,0.002,0.227,1,0.004,0.338,1,0.006,0.324,1,0.013,0.396,1,0.012,0.407,1,0.008,0.477,1,0.023,0.462,1,0.003,0.354,1,0.003,0.258,1,0,0,40.1,-109.609,171.13,171.13,-164.902,9.469,148.565,-212.269,-28.48,139.57,-72.003,57.491,115.635,-96.79,-50.067,175.86,-92.522,14.833,89.113,-105.594,5.359,138.776,-107.208,-27.228,78.252,-50.108,0.973,83.803,-71.678,-10.64,81.239,-39.788,-7.228,56.74,1
1994,"Endless Love","Luther Vandross ",-10.639,259.98667,1,0.69,96.054,0.434,"A#",0.888,14,0.414422918,-60,-60,-1.161,0,0,0.54656,-60,-60,-4.317,0.009,1,1,0.008,0.868,1,0.009,0.531,1,0.005,0.485,1,0.006,0.43,1,0.007,0.357,1,0.005,0.445,1,0.007,0.494,1,0.004,0.699,1,0.009,0.698,1,0.024,0.824,1,0.007,0.38,1,5.308,5.308,56.27,-188.263,97.958,124.735,-133.002,60.334,102.464,-188.102,-133.66,277.616,-38.583,64.277,143.897,-95.539,-31.089,102.772,-77.874,32.842,85.059,-95.641,-95.641,133.473,-76.705,-47.422,34.061,-65.519,19.3,43.255,-58.752,6.424,50.16,-60.841,3.365,59.413,1
1994,"When Can I See You","Babyface",-13.016,375.10667,1,0.217,111.592,0.987,"C#",0.297,18,0.55661729,-60,-60,-4.166,-0.00129,0,0.32383,-60,-60,-8.05,0.002,1,1,0.004,1,1,0.003,1,1,0.002,1,1,0.001,1,1,0.002,1,1,0.001,1,1,0.001,1,1,0.001,1,1,0.001,1,1,0.001,1,1,0.001,1,1,0.009,0.009,52.056,-243.333,170.951,344.851,-240.818,9.195,68.154,-246.698,-28.735,165.137,-108.646,57.244,95.281,-143.894,-50.11,145.853,-93.423,15.001,76.942,-93.906,5.169,114.383,-66.313,-27.213,50.199,-74.781,1.021,104.269,-92.198,-10.708,47.836,-59.898,-7.17,42.269,1
1994,"This D.J.","Warren G",-10.854,203.11619,0,0.289,92.062,1,"F#",0.025,7,0.424316036,-60,-60,-3.395,-0.00404,0,0.14551,-60,-60,-12.018,0.002,1,1,0.004,0.932,1,0.002,0.809,1,0.001,0.793,1,0.001,0.747,1,0.004,0.739,1,0.009,0.667,1,0.001,0.654,1,0.001,0.609,1,0.001,0.6,1,0.001,0.539,1,0,0.445,1,0.192,0.192,49.418,-250.919,166.784,206.169,-201.94,3.715,15.358,-165.225,-33.391,154.279,-79.02,53.441,112.422,-110.47,-49.332,107.454,-90.43,16.08,79.241,-120.115,2.174,116.43,-49.664,-28.325,54.439,-72.256,2.368,63.611,-99.493,-12.101,120.674,-66.823,-4.197,41.647,1
1994,"Fantastic Voyage","Coolio",-10.733,243.08354,1,0.661,103.697,1,"D",0.854,11,0.582348111,-60,-60,-3.839,0,0,0.20935,-60,-60,-13.064,0.031,0.985,1,0.015,1,1,0.009,0.957,1,0.012,0.879,1,0.009,0.853,1,0.008,0.868,1,0.018,0.842,1,0.019,0.811,1,0.014,0.81,1,0.013,0.772,1,0.005,0.743,1,0.006,0.711,1,0,0,50.055,-138.997,171.13,179.389,-219.1,9.469,85.465,-219.164,-28.48,161.114,-80.031,57.491,101.635,-116.051,-50.067,188.003,-79.442,14.833,69.827,-103.02,5.359,86.571,-56.766,-27.228,35.717,-57.323,0.973,80.759,-96.361,-10.64,92.899,-42.113,-7.228,39.389,1
1994,"I Swear","All-4-One",-6.943,261.23864,0,0.512,81.945,0.444,"B",0.384,11,0.495882201,-60,-60,1.081,0,0,1.07909,-60,-60,-3.468,0.003,1,1,0.004,0.996,1,0.001,0.479,1,0.005,0.436,1,0.005,0.306,1,0.002,0.324,1,0.005,0.369,1,0.001,0.5,1,0.002,0.427,1,0.005,0.473,1,0.003,0.661,1,0.002,0.684,1,0,0,57.261,-132.561,171.13,198.049,-127.727,9.469,114.541,-173.553,-28.48,208.178,-57.911,57.491,124.619,-92.762,-50.067,175.453,-91.031,14.833,78.464,-83.49,5.359,85.43,-62.311,-27.228,61.409,-75.467,0.973,90.199,-83.03,-10.64,34.9,-71.738,-7.228,53.246,1
1994,"Funkdafied","Da Brat",-12.819,186.00599,1,0.228,91.025,1,"F",0.371,11,0.450954548,-54.287,-50.622,-4.784,0.0041,0.12364,0.26833,-60,-60,-11.29,0.004,0.759,1,0.01,0.55,1,0.012,0.482,1,0.011,0.462,1,0.004,0.828,1,0.001,0.806,1,0.006,0.918,1,0.001,0.949,1,0.001,1,1,0.008,0.928,1,0.002,0.553,1,0.002,0.462,1,3.064,3.954,49.289,-145.952,94.034,184.748,-150.689,-4.388,136.166,-208.774,-104.611,152.953,-66.605,60.364,113.993,-89.84,-27.99,151.357,-104.428,16.52,83.6,-116.33,-61.478,105.137,-71.303,-48.248,75.338,-80.24,28.254,88.888,-97.941,-20.177,35.329,-66.948,11.174,52.475,1
