Player,Age,Team,Pos,FGA,X3PA,X2PA,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Salary
Shai Gilgeous-Alexander,26,OKC,PG,1656,435,1221,669,67,312,379,486,131,77,183,164,2484,38333050
Anthony Edwards,23,MIN,SG,1612,811,801,496,61,389,450,359,91,51,249,150,2177,45550512
Nikola Jokić,29,DEN,C,1364,331,1033,451,200,692,892,716,127,45,230,160,2071,55224526
Giannis Antetokounmpo,30,MIL,PF,1319,63,1256,707,147,651,798,433,58,78,206,155,2036,54126450
Jayson Tatum,26,BOS,PF,1465,728,737,440,48,575,623,431,76,38,209,157,1932,54126450
Devin Booker,28,PHO,SG,1420,551,869,483,76,229,305,529,67,16,220,198,1923,53142264
Trae Young,26,ATL,PG,1376,642,734,561,36,200,236,880,91,12,355,145,1841,45999660
Tyler Herro,25,MIA,SG,1378,670,708,327,35,364,399,424,69,17,198,85,1840,31000000
Cade Cunningham,23,DET,PG,1457,418,1039,370,56,369,425,638,71,53,309,195,1830,46394100
James Harden,35,LAC,PG,1295,668,627,578,55,401,456,687,118,55,341,162,1802,39182693
Karl-Anthony Towns,29,NYK,C,1215,338,877,409,212,708,920,222,71,50,192,249,1759,53142264
Zach LaVine,29,2TM,SG,1223,536,687,285,22,293,315,310,58,12,208,121,1724,47499660
Jalen Green,22,HOU,SG,1437,661,776,336,45,332,377,282,71,27,203,127,1723,33584499
Stephen Curry,36,GSW,PG,1258,784,474,299,40,270,310,421,80,30,200,95,1718,59606817
DeMar DeRozan,35,SAC,SF,1308,256,1052,441,50,248,298,342,62,32,105,150,1710,24570000
LeBron James,40,LAL,SF,1270,396,874,331,72,474,546,575,70,39,260,99,1710,52627153
Donovan Mitchell,28,CLE,SG,1320,633,687,362,57,265,322,354,95,17,149,140,1701,46394100
Jalen Brunson,28,NYK,PG,1200,397,803,448,27,160,187,475,60,8,164,138,1690,34944001
Kevin Durant,36,PHO,PF,1124,372,752,361,23,351,374,263,50,77,190,104,1647,54708609
Jaren Jackson Jr.,25,MEM,C,1213,389,824,398,91,326,417,148,92,113,153,257,1641,35000000
Pascal Siakam,30,IND,PF,1182,324,858,308,133,407,540,263,70,42,109,189,1578,45550512
Darius Garland,25,CLE,PG,1174,529,645,255,47,167,214,506,91,11,189,143,1544,39446090
Coby White,24,CHI,SG,1121,584,537,307,25,248,273,330,69,16,177,154,1509,12888889
Jalen Williams,23,OKC,SG,1168,340,828,299,59,310,369,354,111,46,150,158,1490,6580997
Austin Reaves,26,LAL,SG,1037,531,506,366,61,268,329,421,81,22,177,151,1475,13937574
De'Aaron Fox,27,2TM,PG,1163,381,782,318,54,244,298,392,91,25,174,164,1459,37096620
Alperen Şengün,22,HOU,C,1143,90,1053,428,262,524,786,372,84,61,194,209,1451,33944954
Franz Wagner,23,ORL,SF,1161,352,809,311,56,286,342,284,75,21,138,147,1449,38661750
Damian Lillard,34,MIL,PG,992,524,468,393,29,243,272,410,70,10,162,97,1447,68230450
Mikal Bridges,28,NYK,SF,1183,463,720,118,71,188,259,306,75,43,132,127,1444,24900000
Jamal Murray,27,DEN,PG,1121,397,724,246,45,216,261,403,91,33,138,128,1436,46394100
Bam Adebayo,27,MIA,C,1113,221,892,328,185,564,749,337,98,53,161,162,1410,37096620
Luka Dončić,25,2TM,PG,1025,481,544,395,40,369,409,383,89,21,179,126,1408,45999660
Jaylen Brown,28,BOS,SF,1118,358,760,322,82,286,368,286,73,19,162,154,1398,53142264
Michael Porter Jr.,26,DEN,SF,1048,489,559,194,138,402,540,165,50,38,104,157,1398,38333050
Jordan Poole,25,WAS,SG,1057,622,435,274,31,172,203,303,86,27,204,201,1391,31848215
