"Team","G","FG","FGA","X3P","X3PA","X2P","X2PA","FT","FTA","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","Season"
"Dallas Mavericks*",75,3124,6772,1136,3095,1988,3677,1392,1787,791,2729,3520,1849,460,363,953,1462,8776,"2019-2020"
"Milwaukee Bucks*",73,3160,6638,1007,2840,2153,3798,1336,1800,691,3083,3774,1889,526,429,1102,1431,8663,"2019-2020"
"Portland Trail Blazers*",74,3122,6749,952,2525,2170,4224,1312,1632,754,2599,3353,1525,465,451,946,1606,8508,"2019-2020"
"Houston Rockets*",72,2936,6512,1126,3261,1810,3251,1484,1876,704,2484,3188,1557,627,371,1057,1566,8482,"2019-2020"
"Los Angeles Clippers*",72,2992,6425,895,2410,2097,4015,1498,1894,767,2664,3431,1708,511,338,1051,1594,8377,"2019-2020"
"New Orleans Pelicans",72,3065,6598,982,2656,2083,3942,1229,1687,797,2551,3348,1932,539,358,1181,1524,8341,"2019-2020"
"Phoenix Suns",73,3006,6429,831,2320,2175,4109,1451,1740,712,2465,3177,1987,559,290,1077,1609,8294,"2019-2020"
"Washington Wizards",72,2990,6544,864,2345,2126,4199,1394,1770,732,2295,3027,1801,574,309,1020,1634,8238,"2019-2020"
"Memphis Grizzlies",73,3106,6634,798,2297,2308,4337,1212,1589,754,2643,3397,1965,576,398,1113,1546,8222,"2019-2020"
"Boston Celtics*",72,2971,6448,905,2487,2066,3961,1336,1668,768,2549,3317,1655,595,406,995,1553,8183,"2019-2020"
"Miami Heat*",73,2880,6160,979,2584,1901,3576,1440,1840,620,2619,3239,1892,547,332,1088,1501,8179,"2019-2020"
"Denver Nuggets*",73,3069,6488,801,2234,2268,4254,1185,1526,786,2436,3222,1952,586,337,1005,1485,8124,"2019-2020"
"Toronto Raptors*",72,2897,6331,995,2663,1902,3668,1329,1670,685,2583,3268,1816,636,358,1067,1559,8118,"2019-2020"
"San Antonio Spurs",71,2995,6350,760,2021,2235,4329,1348,1664,640,2530,3170,1751,518,390,895,1377,8098,"2019-2020"
"Philadelphia 76ers*",73,3000,6417,848,2307,2152,4110,1236,1638,764,2553,3317,1884,586,389,1037,1529,8084,"2019-2020"
"Los Angeles Lakers*",71,3006,6269,782,2242,2224,4027,1260,1728,757,2490,3247,1803,612,468,1077,1471,8054,"2019-2020"
"Brooklyn Nets*",72,2908,6498,941,2746,1967,3752,1291,1732,766,2683,3449,1761,464,323,1099,1510,8048,"2019-2020"
"Utah Jazz*",72,2886,6130,963,2537,1923,3593,1278,1641,656,2577,3233,1615,438,292,1089,1468,8013,"2019-2020"
"Indiana Pacers*",73,3075,6457,743,2046,2332,4411,1096,1393,636,2489,3125,1888,543,376,967,1445,7989,"2019-2020"
"Oklahoma City Thunder*",72,2879,6156,770,2171,2109,3985,1422,1787,593,2495,3088,1562,550,353,986,1390,7950,"2019-2020"
"Sacramento Kings",72,2943,6364,914,2511,2029,3853,1127,1464,695,2372,3067,1713,556,293,1043,1595,7927,"2019-2020"
"Orlando Magic*",73,2871,6468,807,2354,2064,4114,1282,1656,751,2498,3249,1747,599,396,937,1336,7831,"2019-2020"
"Atlanta Hawks",67,2723,6067,805,2416,1918,3651,1237,1566,661,2237,2898,1605,523,341,1086,1548,7488,"2019-2020"
"Minnesota Timberwolves",64,2586,5865,853,2540,1733,3325,1223,1624,675,2193,2868,1525,555,362,981,1370,7248,"2019-2020"
"Detroit Pistons",66,2595,5658,791,2157,1804,3501,1097,1476,644,2109,2753,1589,490,299,1008,1299,7078,"2019-2020"
"New York Knicks",66,2638,5896,631,1872,2007,4024,1076,1550,795,2274,3069,1456,504,313,946,1464,6983,"2019-2020"
"Cleveland Cavaliers",65,2619,5715,727,2070,1892,3645,983,1296,704,2172,2876,1500,447,211,1073,1188,6948,"2019-2020"
"Chicago Bulls",65,2573,5762,793,2282,1780,3480,1006,1332,680,2041,2721,1510,652,265,1005,1417,6945,"2019-2020"
"Golden State Warriors",65,2510,5730,678,2032,1832,3698,1214,1511,647,2138,2785,1663,534,299,969,1304,6912,"2019-2020"
"Charlotte Hornets",65,2425,5586,785,2231,1640,3355,1052,1406,715,2066,2781,1549,428,268,949,1223,6687,"2019-2020"
"Milwaukee Bucks*",72,3221,6610,1038,2669,2183,3941,1169,1539,741,2724,3465,1834,585,334,995,1244,8649,"2020-2021"
"Brooklyn Nets*",72,3106,6289,1020,2600,2086,3689,1305,1623,640,2559,3199,1929,484,379,975,1371,8537,"2020-2021"
"Washington Wizards*",72,3108,6547,733,2088,2375,4459,1449,1884,697,2557,3254,1835,528,297,1037,1555,8398,"2020-2021"
"Utah Jazz*",72,2971,6344,1205,3098,1766,3246,1235,1546,765,2709,3474,1703,474,371,1023,1335,8382,"2020-2021"
"Portland Trail Blazers*",72,2973,6558,1132,2939,1841,3619,1282,1558,766,2441,3207,1531,496,363,799,1362,8360,"2020-2021"
"Indiana Pacers",72,3115,6567,889,2445,2226,4122,1183,1493,648,2424,3072,1973,611,460,975,1453,8302,"2020-2021"
"Phoenix Suns*",72,3118,6357,940,2490,2178,3867,1124,1347,630,2462,3092,1939,517,312,902,1374,8300,"2020-2021"
"Denver Nuggets*",72,3114,6422,927,2462,2187,3960,1129,1406,758,2442,3200,1933,582,323,972,1374,8284,"2020-2021"
"New Orleans Pelicans",72,3060,6412,762,2190,2298,4222,1369,1878,845,2568,3413,1872,545,315,1052,1295,8251,"2020-2021"
"Los Angeles Clippers*",72,3009,6242,1027,2498,1982,3744,1164,1387,678,2501,3179,1756,509,295,950,1383,8209,"2020-2021"
"Sacramento Kings",72,3067,6382,874,2400,2193,3982,1181,1585,674,2307,2981,1836,543,358,963,1400,8189,"2020-2021"
"Golden State Warriors",72,2973,6347,1048,2789,1925,3558,1193,1520,574,2524,3098,1991,587,342,1080,1526,8187,"2020-2021"
"Atlanta Hawks*",72,2937,6281,895,2402,2042,3879,1417,1745,760,2525,3285,1737,503,342,953,1392,8186,"2020-2021"
"Philadelphia 76ers*",72,2981,6257,811,2169,2170,4088,1409,1836,722,2522,3244,1706,655,447,1040,1456,8182,"2020-2021"
"Memphis Grizzlies*",72,3085,6608,803,2258,2282,4350,1184,1536,803,2543,3346,1938,655,364,957,1349,8157,"2020-2021"
"Boston Celtics*",72,2985,6401,979,2618,2006,3783,1160,1496,765,2421,3186,1689,556,383,1012,1471,8109,"2020-2021"
"Dallas Mavericks*",72,2958,6287,994,2744,1964,3543,1186,1524,657,2463,3120,1647,450,311,869,1396,8096,"2020-2021"
"Minnesota Timberwolves",72,2932,6546,944,2706,1988,3840,1265,1662,757,2376,3133,1846,632,398,1027,1507,8073,"2020-2021"
"Toronto Raptors",72,2859,6383,1041,2831,1818,3552,1252,1536,680,2314,2994,1735,618,388,952,1526,8011,"2020-2021"
"San Antonio Spurs",72,3014,6518,716,2046,2298,4472,1254,1584,669,2489,3158,1759,505,366,821,1293,7998,"2020-2021"
"Chicago Bulls",72,3035,6380,904,2446,2131,3934,995,1258,693,2544,3237,1927,482,304,1089,1362,7969,"2020-2021"
"Los Angeles Lakers*",72,2925,6197,796,2248,2129,3949,1241,1679,695,2490,3185,1775,562,386,1095,1377,7887,"2020-2021"
"Charlotte Hornets",72,2875,6324,985,2666,1890,3658,1146,1505,762,2389,3151,1933,565,344,1069,1297,7881,"2020-2021"
"Houston Rockets",72,2826,6372,992,2923,1834,3449,1189,1606,671,2396,3067,1699,546,361,1060,1407,7833,"2020-2021"
"Miami Heat*",72,2824,6029,932,2606,1892,3423,1201,1520,579,2409,2988,1895,569,286,1013,1363,7781,"2020-2021"
"New York Knicks*",72,2839,6225,847,2163,1992,4062,1181,1506,696,2554,3250,1541,507,365,932,1473,7706,"2020-2021"
"Detroit Pistons",72,2783,6162,832,2370,1951,3792,1278,1683,694,2381,3075,1743,531,371,1075,1477,7676,"2020-2021"
"Oklahoma City Thunder",72,2795,6338,857,2529,1938,3809,1113,1536,715,2568,3283,1588,504,316,1162,1305,7560,"2020-2021"
"Orlando Magic",72,2754,6423,784,2288,1970,4135,1196,1543,747,2525,3272,1571,496,318,924,1237,7488,"2020-2021"
"Cleveland Cavaliers",72,2778,6175,720,2141,2058,4034,1200,1614,751,2327,3078,1716,559,325,1114,1308,7476,"2020-2021"
