"PRICE","SQUARE.FEET","LOT.SIZE","BEDS","BATHS","AGE","ADDRESS","CITY","ZIP.OR.POSTAL.CODE","SOLD.DATE"
1585000,1290,6009,2,2,78,"4046 McLaughlin Ave","Culver City",90066,"May-17-2022"
2890000,2669,4903,4,4.5,76,"11409 Charnock Rd","Los Angeles",90066,"June-30-2022"
1650000,1336,4947,2,2,66,"3611 Tilden Ave","Los Angeles",90034,""
1755000,1518,5401,3,2,66,"3615 Tilden Ave","Los Angeles",90034,"June-22-2022"
2405000,2290,6403,5,3,77,"2706 Malcolm Ave","Los Angeles",90064,"July-5-2022"
2700000,2200,6501,3,3,89,"10658 Ashton Ave","Los Angeles",90024,"June-23-2022"
1650000,1638,5004,3,2,84,"11327 Chenault St","Los Angeles",90049,""
2850000,2072,7622,2,2,74,"11943 Foxboro Dr","Los Angeles",90049,"June-6-2022"
2495000,1310,5807,2,2,63,"11975 Kearsarge St","Los Angeles",90049,"June-6-2022"
3700000,1552,6952,3,2,75,"314 S Bundy Dr","Los Angeles",90049,""
2450000,1000,7490,3,1,67,"1840 17th St","Santa Monica",90404,""
3200000,2145,10726,3,2,87,"447 26th St","Santa Monica",90402,""
4600000,2534,7562,4,4,95,"330 22nd St","Santa Monica",90402,"July-19-2022"
2927579,1680,8707,2,2,100,"534 26th St","Santa Monica",90402,"July-27-2022"
3200000,1551,10579,3,2,85,"331 26th St","Santa Monica",90402,""
6550000,2915,15562,4,4,73,"1682 San Onofre Dr","Pacific Palisades",90272,"July-6-2022"
1640000,2024,5310,2,2.5,95,"2112 Linnington Ave","Los Angeles",90025,"June-9-2022"
2150000,2010,6502,3,2,94,"2565 Patricia Ave","Los Angeles",90064,"June-30-2022"
3675000,2774,7213,4,3,87,"2993 Haddington Dr","Los Angeles",90064,""
2700000,2012,6507,3,3,83,"10777 Wellworth Ave","Los Angeles",90024,"May-9-2022"
2995000,1012,6073,2,1,97,"2057 Prosser Ave","Los Angeles",90025,""
2300000,2017,7084,3,2,92,"10760 Rochester Ave","Los Angeles",90024,""
1912000,1661,5501,3,2,77,"2724 Midvale Ave","Los Angeles",90064,"June-28-2022"
2100000,1711,5429,4,3,76,"2810 S Bentley Ave","Los Angeles",90064,"June-14-2022"
1070000,1124,3456,2,2,82,"2547 Greenfield Ave","Los Angeles",90064,"July-14-2022"
1565000,1282,5280,3,2,83,"11003 Exposition Blvd","Los Angeles",90064,"July-19-2022"
1550000,1016,6082,3,1,78,"2547 Midvale Ave","Los Angeles",90064,"July-28-2022"
1562500,1408,5748,3,2,69,"3407 Craigview Ave","Los Angeles",90066,"August-5-2022"
1815000,2122,2583,3,3.5,0,"11752 Exposition Blvd","Los Angeles",90064,"July-27-2022"
1250000,1539,2483,2,2,49,"11803 National Blvd","Los Angeles",90064,"June-28-2022"
2675000,2630,12054,4,3,44,"12366 Evensong Dr","Los Angeles",90064,"July-26-2022"
1379000,1341,5854,2,2,84,"2574 S Bundy Dr","Los Angeles",90064,"August-2-2022"
2708000,2129,5975,3,3,72,"12667 Marco Pl","Los Angeles",90066,"July-11-2022"
1575000,1227,6256,3,2,83,"3734 Stewart Ave","Los Angeles",90066,""
1850000,1624,6125,2,2,74,"12327 Stanwood Dr","Los Angeles",90066,"June-2-2022"
2200000,1306,5762,3,1,75,"3312 Mountain View Ave","Los Angeles",90066,"June-28-2022"
2780000,2416,5785,5,3,72,"12718 Woodgreen St","Los Angeles",90066,"July-29-2022"
2220000,1296,5836,2,1,95,"1311 Pearl St","Santa Monica",90405,"July-21-2022"
2478000,2240,7007,4,2,98,"10721 Wellworth Ave","Los Angeles",90024,"June-29-2022"
2350000,2900,7165,4,2.5,82,"10565 Eastborne Ave","Los Angeles",90024,"July-1-2022"
3700000,2413,5467,4,3,3,"10520 Kinnard Ave","Los Angeles",90024,"May-31-2022"
2182000,1944,6760,3,2,95,"2223 Midvale Ave","Los Angeles",90064,"August-2-2022"
2170000,1556,6500,3,1.5,93,"10385 Ilona Ave","Los Angeles",90064,"July-1-2022"
1415000,1108,5000,3,2,69,"13055 Appleton Way","Los Angeles",90066,""
2250000,1991,6887,3,2,97,"2331 Overland Ave","Los Angeles",90064,"July-25-2022"
2565000,2167,6086,3,2,94,"2232 Prosser Ave","Los Angeles",90064,"March-17-2022"
1756126,1765,5400,3,2,73,"2130 Greenfield Ave","Los Angeles",90025,"June-15-2022"
1981500,1609,6339,3,2,93,"2035 Veteran Ave","Los Angeles",90025,"May-31-2022"
1850000,1907,6750,2,2,95,"2016 Camden Ave","Los Angeles",90025,"June-1-2022"
